update,framesToTrain,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,6144,910.2408697235828,7,0.0,0.0,0,0,0.0,0.0,0,0,1.787808229525884,0.17992622094849745,0.02031123305399281,0.02629021128329138,0.16040796091552073,0.0,0.0,0,0
update,framesToTrain,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,12288,771.2896964609236,15,0.0,0.0,0,0,0.0,0.0,0,0,1.7932491153478622,0.18212351823846498,0.026563268426495295,0.005952337950778504,0.0826002548926047,0.0,0.0,0,0
3,18432,712.7352452447446,23,0.0,0.0,0,0,0.0,0.0,0,0,1.8463211705287297,0.16943355153004327,0.027667468258490164,0.0010370024441120524,0.028587924483004623,0.0,0.0,0,0
4,24576,904.3886125341214,30,0.0,0.0,0,0,0.0,0.0,0,0,1.905109778046608,0.14841677621006966,0.023483162668223184,0.0005100136453014178,0.0255967329440205,0.0,0.0,0,0
5,30720,940.6836502789712,37,0.0,0.0,0.0,0.0,320.0,320.0,0.0,640.0,1.9233974168697994,0.11853159219026566,0.03183881395185987,0.0005591552471742034,0.022790246290039912,0.0,0.0,0.0,0.0
6,36863,738.21196641829,8,0.0,0.0,0,0,0.0,0.0,0,0,1.9322374959786732,0.10298402793705463,0.016940312188429136,9.863435176763839e-05,0.009206358242033322,0.0,0.0,0,0
7,43007,690.5377619444448,17,0.0,0.0,0,0,0.0,0.0,0,0,1.938768853743871,0.08837625912080209,0.015567151363939047,6.403810766641982e-05,0.008268344392466303,0.0,0.0,0,0
8,49151,692.0307892401363,26,0.0,0.0,0,0,0.0,0.0,0,0,1.9398325632015865,0.0758704465503494,0.013651263085193932,5.873350937690702e-05,0.007997290808535909,0.0,0.0,0,0
9,55295,688.7035607554748,35,0.0,0.0,0,0,0.0,0.0,0,0,1.9405270963907242,0.0645777890458703,0.011329548549838364,6.096509165824197e-05,0.006944535088180819,0.0,0.0,0,0
10,61439,680.5713022578818,44,0.0,0.0,0,0,0.0,0.0,0,0,1.941549837589264,0.05510661797598004,0.009495559730567038,4.1254501108293575e-05,0.005769847310285156,0.0,0.0,0,0
