update,framesToTrain,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,4096,2018.275184401034,14,0.0,0.0,0,0,0.0,0.0,0,0,1.932714857161045,-0.10375179396942258,-0.02511985821183771,0.001181148716568714,0.031227445212110756,0.0,0.0,0,0
update,framesToTrain,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,8192,1995.652880139339,16,0.0,0.0,0,0,0.0,0.0,0,0,1.9334831610321999,-0.08816889300942421,-0.014826665574219078,0.0001205649959956645,0.006887319204680156,0.0,0.0,0,0
3,12288,1938.0407909928924,19,0.01992187462747097,0.07755160531117375,0.0,0.3499999940395355,354.53125,21.409671259444877,260.0,360.0,1.9381389319896698,-0.06519376207143068,-0.02534080669283867,0.0006454238882724894,0.00985146719467469,0.01992187462747097,0.07755160531117375,0.0,0.3499999940395355
4,16384,2027.2662524152147,21,0.01992187462747097,0.07755160531117375,0.0,0.3499999940395355,354.53125,21.409671259444877,260.0,360.0,1.9434969872236252,-0.056942697847262025,-0.009982724324800074,2.4548950932512525e-05,0.002682410520729676,0.01992187462747097,0.07755160531117375,0.0,0.3499999940395355
5,20480,2045.4813727022836,23,0.008984374813735485,0.050022881910224054,0.0,0.2874999940395355,357.65625,13.049447725382864,285.0,360.0,1.9436769559979439,-0.04779964406043291,-0.00866243988275528,2.6198380737696425e-05,0.002511303182564777,0.008984374813735485,0.050022881910224054,0.0,0.2874999940395355
6,24576,1995.155519260017,25,0.0074218749068677425,0.041323250611840605,0.0,0.23749999701976776,358.28125,9.5695949986141,305.0,360.0,1.9430880397558212,-0.035223183454945683,-0.01290529384277761,0.0002063047877527424,0.004794940385920951,0.0074218749068677425,0.041323250611840605,0.0,0.23749999701976776
7,28672,1950.0379209213875,27,0.034062500577419996,0.15268783605273553,0.0,0.8525000214576721,348.875,52.934363838625664,59.0,360.0,1.9396957606077194,-0.0265286072390154,-0.006979474128456786,0.0010383953308519267,0.008867005181573902,0.034062500577419996,0.15268783605273553,0.0,0.8525000214576721
8,32768,2038.3670567001386,29,0.026640625670552254,0.14832872621199547,0.0,0.8525000214576721,350.59375,52.371783537869895,59.0,360.0,1.9449675977230072,-0.028178791282698512,-0.005233499367022887,2.7450906372905592e-05,0.002025722111225016,0.026640625670552254,0.14832872621199547,0.0,0.8525000214576721
9,36864,2063.012566940344,31,0.0,0.0,0.0,0.0,360.0,0.0,360.0,360.0,1.9447753429412842,-0.021425168262794614,-0.006840695015853271,4.1379008052899735e-05,0.0023252453891558795,0.0,0.0,0.0,0.0
