update,framesToTrain,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,4096,1973.531182374739,15,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.9277807176113129,-0.07967074913904071,-0.03168067103251815,0.002092031827487517,0.03612129137950171,0.0,0.0,0.0,0.0
update,framesToTrain,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,8192,1983.5492528959116,17,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.9344129785895348,-0.062352338805794716,-0.02217425301205367,0.00039585255035490263,0.011012956434003237,0.0,0.0,0.0,0.0
3,12288,1979.254442584479,20,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.9386379942297935,-0.047067608684301376,-0.01604856370249763,0.00017467292855144478,0.006287975860295423,0.0,0.0,0.0,0.0
4,16384,1991.1313066058428,22,0.0026875000912696123,0.02133137066988835,0.0,0.1720000058412552,99.875,0.9921567416492215,92.0,100.0,1.942856304347515,-0.03122859774157405,-0.01696920971153304,0.0001970494622582919,0.006166616754762164,0.0026875000912696123,0.02133137066988835,0.0,0.1720000058412552
5,20480,2005.4040311729473,24,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.9435537680983543,-0.023826598888263106,-0.0088743093656376,5.0039303005178226e-05,0.002716835780198543,0.0,0.0,0.0,0.0
6,24576,2006.3647306890305,26,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.9443932622671127,-0.01662668993230909,-0.005795485310954973,2.8367956929287175e-05,0.0018934767990655308,0.0,0.0,0.0,0.0
7,28672,2017.2793603273512,28,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.9446709528565407,-0.012408282898832113,-0.004299208041629754,1.5434516512868868e-05,0.0013003490354028843,0.0,0.0,0.0,0.0
8,32768,2017.2791234561914,30,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.9453115612268448,-0.008375722158234566,-0.003574916219804436,8.614624164238194e-06,0.000903070744692458,0.0,0.0,0.0,0.0
9,36864,2016.273869818838,32,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.9454780220985413,-0.006235566426767036,-0.0021171553307794966,5.572902324502138e-06,0.0008060251937251306,0.0,0.0,0.0,0.0
10,40960,2038.3656056050497,34,0.019939393708200165,0.11279424403053373,0.0,0.6579999923706055,98.12121212121212,10.628029196015987,38.0,100.0,1.9439223259687424,-0.0020000580971100135,-0.004256659442035016,0.0006092147714298335,0.01226905956033493,0.019939393708200165,0.11279424403053373,0.0,0.6579999923706055
11,45056,2029.262373338455,36,0.0018730158843691387,0.014748141821671796,0.0,0.11800000071525574,99.96825396825396,0.24996850393688286,98.0,100.0,1.9448278844356537,-0.007365590485278517,-0.0045993633539183065,3.930990914113863e-05,0.0017303645747630393,0.0018730158843691387,0.014748141821671796,0.0,0.11800000071525574
12,49152,2032.3088924837714,38,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.9447472244501114,-0.003923534430214204,-0.001865870799520053,1.514258559609516e-05,0.0015527008738227997,0.0,0.0,0.0,0.0
13,53248,2049.575918755051,40,0.014323529075173771,0.08228241009184464,0.0,0.4869999885559082,98.73529411764706,7.265182170621625,57.0,100.0,1.9434727877378464,-0.0026951712970912922,-0.0026686193414207082,0.00041435298737724224,0.005963148190660264,0.014323529075173771,0.08228241009184464,0.0,0.4869999885559082
14,57344,2011.334881378339,42,0.00611764718504513,0.03514320750390878,0.0,0.20800000429153442,99.6470588235294,2.027492698778128,88.0,100.0,1.9435278624296188,0.0001633557521927287,-0.0011052314275730168,7.949509915761155e-05,0.004015494297983159,0.00611764718504513,0.03514320750390878,0.0,0.20800000429153442
15,61440,2032.3086520698948,44,0.02393442587774308,0.13036441391204162,0.0,0.7839999794960022,97.70491803278688,12.512740081115076,24.0,100.0,1.9383860528469086,0.0052515725619741715,-0.005050864554505097,0.0018116024475602899,0.015112432311803897,0.02393442587774308,0.13036441391204162,0.0,0.7839999794960022
16,65536,2032.2245107068766,46,0.02903030270879919,0.09215943981535261,0.0,0.4779999852180481,98.12121212121212,7.417250882367018,58.0,100.0,1.938281886279583,0.005690513120498508,-0.003950265388994012,0.0006313527901511407,0.009403856542939607,0.02903030270879919,0.09215943981535261,0.0,0.4779999852180481
17,69632,2040.2818821708051,48,0.04810256377244607,0.14636182528612468,0.0,0.6039999723434448,95.7948717948718,13.009226483596638,44.0,100.0,1.9236057996749878,0.009746887313667685,-0.0057670717214932665,0.001319628663623007,0.011643857954189148,0.04810256377244607,0.14636182528612468,0.0,0.6039999723434448
18,73728,2023.2981593970667,50,0.03689655173441459,0.11833495594492398,0.0,0.6850000023841858,97.24137931034483,10.289449475618024,35.0,100.0,1.9171011820435524,0.01676548330578953,-0.006728917178406846,0.0015836172169656493,0.01857732684303166,0.03689655173441459,0.11833495594492398,0.0,0.6850000023841858
19,77824,2037.1222931294267,52,0.1435142857687814,0.24074306177535743,0.0,0.7570000290870667,87.22857142857143,22.08177750904994,27.0,100.0,1.9000145494937897,0.03844520845450461,-0.012999171420233324,0.003577125295123551,0.030698400847525127,0.1435142857687814,0.24074306177535743,0.0,0.7570000290870667
20,81920,2043.4520166931557,54,0.13629545339129187,0.2533551730837051,0.0,0.8650000095367432,87.88636363636364,23.920527423771514,15.0,100.0,1.8998235389590263,0.04182646656408906,-0.018311555904801935,0.00521320519328583,0.03376856460863949,0.13629545339129187,0.2533551730837051,0.0,0.8650000095367432
21,86016,2017.2795971985668,56,0.17778431507302264,0.2344330938399527,0.0,0.7210000157356262,85.03921568627452,21.428367476739457,31.0,100.0,1.8763506785035133,0.0771950869821012,-0.02078680257545784,0.006159674900118262,0.03983595956712954,0.17778431507302264,0.2344330938399527,0.0,0.7210000157356262
22,90112,2008.3590907932519,58,0.30018181800842286,0.2955038268957361,0.0,0.8289999961853027,72.9090909090909,28.017703966192343,19.0,100.0,1.8203484937548637,0.11617910908535123,-0.03542085271328688,0.009670059371273965,0.05894594153501696,0.30018181800842286,0.2955038268957361,0.0,0.8289999961853027
23,94208,2008.8250042854481,60,0.42242666622002917,0.3115497683071203,0.0,0.9010000228881836,61.36,30.94237224260609,11.0,100.0,1.7558028101921082,0.18915079534053802,-0.0574886214453727,0.015425233694259077,0.07362983965815911,0.42242666622002917,0.3115497683071203,0.0,0.9010000228881836
24,98304,2021.2621435777671,62,0.6026774199419124,0.23683468886158857,0.0,0.9369999766349792,43.43010752688172,24.574835389012073,7.0,100.0,1.6485857963562012,0.32967683486640453,-0.0926024061627686,0.017621494480408728,0.09251437981491875,0.6026774199419124,0.23683468886158857,0.0,0.9369999766349792
25,102400,1993.6963881327047,64,0.685837037033505,0.20148960833921803,0.0,0.9190000295639038,34.577777777777776,21.320991800524304,9.0,100.0,1.514650546014309,0.4587467238306999,-0.11404037708416581,0.017342492647003382,0.08848900086793823,0.685837037033505,0.20148960833921803,0.0,0.9190000295639038
26,106496,2012.3231937475541,66,0.7432627745353393,0.16020262230422533,0.0,0.9190000295639038,28.445255474452555,17.445606691025237,9.0,100.0,1.4604003131389618,0.5297545529901981,-0.08091961359605193,0.010781523946207017,0.08403040527035759,0.7432627745353393,0.16020262230422533,0.0,0.9190000295639038
27,110592,2015.7623944811337,68,0.7809673929991929,0.11670070321712524,0.13600000739097595,0.9279999732971191,24.33695652173913,12.966744398747801,8.0,96.0,1.3206828981637955,0.6326015181839466,-0.06778205465525389,0.00788201775867492,0.07800204753388565,0.7809673929991929,0.11670070321712524,0.13600000739097595,0.9279999732971191
