update,framesToTrain,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,4096,1450.089545314968,15,0.0,0.0,0,0,0.0,0.0,0,0,1.9327148646116257,-0.10375179257243872,-0.025119858095422387,0.0011811487311206292,0.031227448982025504,0.0,0.0,0,0
update,framesToTrain,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,8192,2404.6225629216697,17,0.0,0.0,0,0,0.0,0.0,0,0,1.9334831684827805,-0.08816887810826302,-0.014826661965344101,0.00012056500099788536,0.006887313355789528,0.0,0.0,0,0
3,12288,2391.9805365372936,19,0.01992187462747097,0.07755160531117375,0.0,0.3499999940395355,354.53125,21.409671259444877,260.0,360.0,1.938139021396637,-0.06519379443489015,-0.025340789812617004,0.0006454254271375248,0.0098537152508116,0.01992187462747097,0.07755160531117375,0.0,0.3499999940395355
4,16384,2410.265900650833,20,0.01992187462747097,0.07755160531117375,0.0,0.3499999940395355,354.53125,21.409671259444877,260.0,360.0,1.9434940591454506,-0.0569431739859283,-0.009983947384171188,2.4567276454945386e-05,0.0026844932398786036,0.01992187462747097,0.07755160531117375,0.0,0.3499999940395355
5,20480,2376.69180574616,22,0.008984374813735485,0.050022881910224054,0.0,0.2874999940395355,357.65625,13.049447725382864,285.0,360.0,1.9436789080500603,-0.04779430106282234,-0.008662337611895055,2.6088751837960444e-05,0.0025033780416828678,0.008984374813735485,0.050022881910224054,0.0,0.2874999940395355
6,24576,2387.7962368711906,24,0.0074218749068677425,0.041323250611840605,0.0,0.23749999701976776,358.28125,9.5695949986141,305.0,360.0,1.9430545195937157,-0.03522906987927854,-0.012907884549349546,0.00020656026163123897,0.00474604129593055,0.0074218749068677425,0.041323250611840605,0.0,0.23749999701976776
7,28672,2372.5787992864534,26,0.05601562513038516,0.19172414727864096,0.0,0.8525000214576721,341.34375,66.27811166544728,59.0,360.0,1.9346569925546646,-0.023804363212548196,-0.010186208935920149,0.001473487822295283,0.019057739916251197,0.05601562513038516,0.19172414727864096,0.0,0.8525000214576721
8,32768,2095.7375306632034,27,0.0575781250372529,0.19339330614786038,0.0,0.8525000214576721,340.71875,66.71077235677534,59.0,360.0,1.9411131963133812,-0.029935514787212014,-0.006927903828909621,0.00024007642059586942,0.008062458603711938,0.0575781250372529,0.19339330614786038,0.0,0.8525000214576721
9,36864,2172.917923914156,29,0.03093749936670065,0.1305677928233045,0.0,0.7024999856948853,350.125,43.512031382136136,119.0,360.0,1.9442421570420265,-0.02862068742979318,-0.008839333051582798,7.144567166506022e-05,0.003837769850008491,0.03093749936670065,0.1305677928233045,0.0,0.7024999856948853
10,40960,2332.0455200290708,31,0.024843749590218067,0.10007211598305628,0.0,0.5074999928474426,352.5625,30.834170878264263,197.0,360.0,1.9426127970218658,-0.021093954797834158,-0.006680251099169254,0.0002866795630325214,0.006762679036103619,0.024843749590218067,0.10007211598305628,0.0,0.5074999928474426
11,45056,2364.9089419154393,33,0.03859374951571226,0.12186367978094605,0.0,0.5074999928474426,348.3125,37.32076960286323,197.0,360.0,1.9400784224271774,-0.014693467470351607,-0.006205306301126257,0.0003790374430536758,0.00903096392955979,0.03859374951571226,0.12186367978094605,0.0,0.5074999928474426
12,49152,2068.2089407740145,35,0.053359373938292265,0.1600520007273889,0.0,0.7774999737739563,343.65625,52.72191751005933,89.0,360.0,1.939775325357914,-0.00952934560336871,-0.008259151538368315,0.0007703056771788397,0.016256057171958826,0.053359373938292265,0.1600520007273889,0.0,0.7774999737739563
13,53248,2101.1139026433266,37,0.056406248826533556,0.16706325255385016,0.0,0.7774999737739563,342.4375,55.32852875099789,89.0,360.0,1.9388928189873695,-0.00844558772223536,-0.005980661080684513,0.00033621716966081294,0.008271191557594815,0.056406248826533556,0.16706325255385016,0.0,0.7774999737739563
