update,framesToTrain,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,4096,1975.4192030146185,16,0.0,0.0,0,0,0.0,0.0,0,0,1.9327148646116257,-0.10375179210677743,-0.025119858444668353,0.0011811486001533922,0.03122744032519063,0.0,0.0,0,0
update,framesToTrain,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,8192,1952.8235149022144,18,0.0,0.0,0,0,0.0,0.0,0,0,1.9334831610321999,-0.08816890465095639,-0.014826665283180773,0.00012056500509061152,0.006887318703910907,0.0,0.0,0,0
3,12288,1971.6275339996444,20,0.01992187462747097,0.07755160531117375,0.0,0.3499999940395355,354.53125,21.409671259444877,260.0,360.0,1.9381389319896698,-0.06519377324730158,-0.02534081053454429,0.0006454239373852033,0.0098514683355405,0.01992187462747097,0.07755160531117375,0.0,0.3499999940395355
4,16384,1981.1541203187815,22,0.01992187462747097,0.07755160531117375,0.0,0.3499999940395355,354.53125,21.409671259444877,260.0,360.0,1.9434969946742058,-0.056942694587633014,-0.009982733696233481,2.4548961278014758e-05,0.002682409032553441,0.01992187462747097,0.07755160531117375,0.0,0.3499999940395355
5,20480,1996.1235849258292,24,0.008984374813735485,0.050022881910224054,0.0,0.2874999940395355,357.65625,13.049447725382864,285.0,360.0,1.9436769559979439,-0.04779963195323944,-0.008662437845487148,2.619838198825164e-05,0.0025113019936301596,0.008984374813735485,0.050022881910224054,0.0,0.2874999940395355
6,24576,2006.3916772651203,26,0.0074218749068677425,0.041323250611840605,0.0,0.23749999701976776,358.28125,9.5695949986141,305.0,360.0,1.9430880323052406,-0.03522316995076835,-0.012905289768241346,0.00020630469862226164,0.004794938163907331,0.0074218749068677425,0.041323250611840605,0.0,0.23749999701976776
7,28672,2009.3693916909488,28,0.034062500577419996,0.15268783605273553,0.0,0.8525000214576721,348.875,52.934363838625664,59.0,360.0,1.9396957606077194,-0.026528592221438885,-0.006979470839723945,0.0010383952758274972,0.008867002893164784,0.034062500577419996,0.15268783605273553,0.0,0.8525000214576721
8,32768,2031.284524591854,30,0.026640625670552254,0.14832872621199547,0.0,0.8525000214576721,350.59375,52.371783537869895,59.0,360.0,1.9449675679206848,-0.028178773587569594,-0.005233498610323295,2.7450897277958575e-05,0.002025725519860019,0.026640625670552254,0.14832872621199547,0.0,0.8525000214576721
9,36864,2015.2906573322884,32,0.0,0.0,0.0,0.0,360.0,0.0,360.0,360.0,1.9447753429412842,-0.021425162558443844,-0.006840691959951073,4.137899827583169e-05,0.002325242539657316,0.0,0.0,0.0,0.0
10,40960,2004.450799517108,34,0.03398437425494194,0.13207457833950043,0.0,0.5874999761581421,348.90625,43.18807660613633,165.0,360.0,1.942700445652008,-0.014178160286974162,-0.00812247087014839,0.000556193730517407,0.012256715241886044,0.03398437425494194,0.13207457833950043,0.0,0.5874999761581421
11,45056,2035.3057369995338,36,0.03398437425494194,0.13207457833950043,0.0,0.5874999761581421,348.90625,43.18807660613633,165.0,360.0,1.943115510046482,-0.009070248459465802,-0.002192716572608333,4.0370950955548324e-05,0.003007901490867166,0.03398437425494194,0.13207457833950043,0.0,0.5874999761581421
12,49152,2012.336629233172,38,0.03445312473922968,0.1165716884476583,0.0,0.5,349.96875,36.2081520301368,200.0,360.0,1.9421939924359322,-0.006474459274613764,-0.004504607670241967,0.0002493836509529501,0.007992713545904974,0.03445312473922968,0.1165716884476583,0.0,0.5
13,53248,2050.600955267435,40,0.01882812473922968,0.08129562147273887,0.0,0.4449999928474426,354.96875,24.214515758889338,222.0,360.0,1.9439203068614006,-0.007016601855866611,-0.0013646659663208993,2.406089322448679e-05,0.002259723788558528,0.01882812473922968,0.08129562147273887,0.0,0.4449999928474426
14,57344,2046.5093864975572,42,0.019765624776482582,0.08304356652242723,0.0,0.4449999928474426,354.59375,24.580047008447725,222.0,360.0,1.944025605916977,-0.0034474234998924658,-0.0018233834562124684,8.192547863927757e-05,0.0036818435409907615,0.019765624776482582,0.08304356652242723,0.0,0.4449999928474426
15,61440,1988.8803819420325,44,0.028671875596046448,0.13011411234963202,0.0,0.7300000190734863,351.03125,44.07201803227871,108.0,360.0,1.9440059065818787,-0.0019970263019786216,-0.004577927276841365,0.00046107773550829734,0.008569392656617218,0.028671875596046448,0.13011411234963202,0.0,0.7300000190734863
16,65536,2043.448856950473,46,0.028671875596046448,0.13011411234963202,0.0,0.7300000190734863,351.03125,44.07201803227871,108.0,360.0,1.943928748369217,-0.0024438373366137967,-0.0004385303086564818,1.637121187059165e-05,0.0015356909017315654,0.028671875596046448,0.13011411234963202,0.0,0.7300000190734863
17,69632,2032.2930252899382,48,0.026406250661239028,0.1279418503119207,0.0,0.7300000190734863,351.9375,43.824891257708785,108.0,360.0,1.9408774226903915,0.002159494020816055,-0.0012929828435517265,0.00019207614059268963,0.006897135223379637,0.026406250661239028,0.1279418503119207,0.0,0.7300000190734863
18,73728,2025.25758089274,50,0.0035937500651925802,0.020009153541897313,0.0,0.11500000208616257,359.8125,1.0439558180306292,354.0,360.0,1.9449111223220825,-0.0012466472071537282,-0.00010057788824724412,1.1119239673007542e-05,0.0013740262527622829,0.0035937500651925802,0.020009153541897313,0.0,0.11500000208616257
19,77824,2055.7582831056784,52,0.01921875006519258,0.08863645362335947,0.0,0.5,354.8125,27.824716418141623,200.0,360.0,1.9415580704808235,0.0023202560096251545,-0.0021656608532794053,0.00027642197028399096,0.005157545938797192,0.01921875006519258,0.08863645362335947,0.0,0.5
20,81920,2041.409460662168,54,0.015625,0.08699631816921909,0.0,0.5,355.0,27.83882181415011,200.0,360.0,1.9451925083994865,-0.001025711237161886,-0.00018809919504292338,7.293039885780672e-06,0.0008740936279445292,0.015625,0.08699631816921909,0.0,0.5
21,86016,2023.2566983496788,57,0.015625,0.08699631816921909,0.0,0.5,355.0,27.83882181415011,200.0,360.0,1.9433851167559624,0.00011199732898603543,-0.0002757906677288702,1.7563890025940054e-05,0.00205818644668817,0.015625,0.08699631816921909,0.0,0.5
22,90112,2044.4575540366266,59,0.028046874329447746,0.10969904311412422,0.0,0.5099999904632568,351.28125,34.31857585095133,196.0,360.0,1.9420585334300995,0.0021215218730503693,-0.003648888574389275,0.00027780044433711737,0.008573248597697525,0.028046874329447746,0.10969904311412422,0.0,0.5099999904632568
